event_id,stock_code,stock_name,from_year,to_year,year_gap,is_consecutive_pair,from_doc_id,to_doc_id,dividend_delta,ocf_delta_cny,profit_delta_cny,risk_score_delta,base_attention_score_delta,final_attention_score_delta,cross_year_pressure_score,event_type,review_reason
000797_2022_2024,000797,中国武夷,2022,2024,2,False,1216380526,1223149048,-0.1,-689637291.8,-5415988.67,0.0,21.9,20.9,22.5,attention_score_jump,cross-year base attention score jumps
000797_2023_2024,000797,中国武夷,2023,2024,1,True,1219597689,1223149048,-0.1,-1318441141.07,-13979196.62,-10.73,19.22,18.22,25.0,baseline,cross-year base attention score rises
000897_2020_2021,000897,津滨发展,2020,2021,1,True,1209491037,1213001265,0.0,494375197.3,287243085.25,0.0,0.0,0.0,0.0,baseline,cross-year baseline comparison
000897_2020_2022,000897,津滨发展,2020,2022,2,False,1209491037,1216280228,0.0,117543433.2,61924662.68,0.0,0.0,0.0,0.0,baseline,cross-year baseline comparison
000897_2020_2023,000897,津滨发展,2020,2023,3,False,1209491037,1219997738,0.0,-1094489237.37,323604544.98,0.0,17.5,22.5,11.25,baseline,cross-year base attention score rises
000897_2020_2024,000897,津滨发展,2020,2024,4,False,1209491037,1223361063,0.95,-1225766285.44,307215369.1,0.0,23.2,39.2,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
000897_2021_2022,000897,津滨发展,2021,2022,1,True,1213001265,1216280228,0.0,-376831764.1,-225318422.57,0.0,0.0,0.0,0.0,baseline,cross-year baseline comparison
000897_2021_2023,000897,津滨发展,2021,2023,2,False,1213001265,1219997738,0.0,-1588864434.67,36361459.73,0.0,17.5,22.5,11.25,baseline,cross-year base attention score rises
000897_2021_2024,000897,津滨发展,2021,2024,3,False,1213001265,1223361063,0.95,-1720141482.74,19972283.85,0.0,23.2,39.2,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
000897_2022_2023,000897,津滨发展,2022,2023,1,True,1216280228,1219997738,0.0,-1212032670.57,261679882.3,0.0,17.5,22.5,25.0,baseline,cross-year base attention score rises
000897_2022_2024,000897,津滨发展,2022,2024,2,False,1216280228,1223361063,0.95,-1343309718.64,245290706.42,0.0,23.2,39.2,60.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;attention_score_jump;high_cross_year_pressure,cross-year base attention score jumps; dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow
000897_2023_2024,000897,津滨发展,2023,2024,1,True,1219997738,1223361063,0.95,-131277048.07,-16389175.88,0.0,5.7,16.7,80.0,dividend_up_cashflow_down;dividend_with_negative_cashflow;dividend_with_profit_decline;high_cross_year_pressure,dividend rises while operating cash flow declines; current-year dividend with negative operating cash flow; profit declines while dividend remains
