"doc_id","company_name","stock_code","report_year","announcement_title","announcement_date","cninfo_url","pdf_url","local_pdf_path","is_revision","download_status","error_message"
"1219840458","外高桥","600648","2023","2023年年度报告","2024-04-26","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600648&announcementId=1219840458","https://static.cninfo.com.cn/finalpage/2024-04-26/1219840458.PDF","data/pdf/外高桥_2023_1219840458.pdf","False","success",""
"1219595758","城建发展","600266","2023","2023年年度报告","2024-04-13","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600266&announcementId=1219595758","https://static.cninfo.com.cn/finalpage/2024-04-13/1219595758.PDF","data/pdf/城建发展_2023_1219595758.pdf","False","success",""
"1219412328","信达地产","600657","2023","2023年年度报告","2024-03-27","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600657&announcementId=1219412328","https://static.cninfo.com.cn/finalpage/2024-03-27/1219412328.PDF","data/pdf/信达地产_2023_1219412328.pdf","False","success",""
"1219915446","栖霞建设","600533","2023","2023年年度报告","2024-04-30","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600533&announcementId=1219915446","https://static.cninfo.com.cn/finalpage/2024-04-30/1219915446.PDF","data/pdf/栖霞建设_2023_1219915446.pdf","False","success",""
"1219876783","苏州高新","600736","2023","2023年年度报告","2024-04-27","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600736&announcementId=1219876783","https://static.cninfo.com.cn/finalpage/2024-04-27/1219876783.PDF","data/pdf/苏州高新_2023_1219876783.pdf","False","success",""
"1219493208","京投发展","600683","2023","2023年年度报告","2024-04-02","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600683&announcementId=1219493208","https://static.cninfo.com.cn/finalpage/2024-04-02/1219493208.PDF","data/pdf/京投发展_2023_1219493208.pdf","False","success",""
"1219468516","南山控股","002314","2023","深圳市新南山控股（集团）股份有限公司2023年年度报告全文","2024-03-30","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002314&announcementId=1219468516","https://static.cninfo.com.cn/finalpage/2024-03-30/1219468516.PDF","data/pdf/南山控股_2023_1219468516.pdf","False","success",""
"1219469544","城投控股","600649","2023","2023年年度报告","2024-03-30","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=600649&announcementId=1219469544","https://static.cninfo.com.cn/finalpage/2024-03-30/1219469544.PDF","data/pdf/城投控股_2023_1219469544.pdf","False","success",""
"1219865459","荣盛发展","002146","2023","荣盛房地产发展股份有限公司2023年年度报告全文","2024-04-29","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002146&announcementId=1219865459","https://static.cninfo.com.cn/finalpage/2024-04-29/1219865459.PDF","data/pdf/荣盛发展_2023_1219865459.pdf","False","success",""
"1219488813","华侨城A","000069","2023","2023年年度报告","2024-03-30","https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000069&announcementId=1219488813&orgId=gssz0000069","https://static.cninfo.com.cn/finalpage/2024-03-30/1219488813.PDF","data/pdf/华侨城A_2023_1219488813.pdf","False","success",""
