doc_id,stock_code,stock_name,title,pdf_path,markdown_path,parser,markdown_non_empty,has_garbled_text,has_dividend_keyword,has_financial_keyword,has_risk_keyword,page_no_preserved,needs_manual_fix
1216277657,000965,天保基建,2022年年度报告,data/pdf/天保基建_2022_1216277657.pdf,data/parsed/pdf_text/doc_1216277657_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219445524,000965,天保基建,2023年年度报告,data/pdf/天保基建_2023_1219445524.pdf,data/parsed/pdf_text/doc_1219445524_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1222947586,000965,天保基建,2024年年度报告,data/pdf/天保基建_2024_1222947586.pdf,data/parsed/pdf_text/doc_1222947586_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1209425561,001979,招商蛇口,2020年年度报告,data/pdf/招商蛇口_2020_1209425561.pdf,data/parsed/pdf_text/doc_1209425561_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1212634443,001979,招商蛇口,2021年年度报告,data/pdf/招商蛇口_2021_1212634443.pdf,data/parsed/pdf_text/doc_1212634443_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1216166724,001979,招商蛇口,2022年年度报告,data/pdf/招商蛇口_2022_1216166724.pdf,data/parsed/pdf_text/doc_1216166724_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219330022,001979,招商蛇口,2023年年度报告,data/pdf/招商蛇口_2023_1219330022.pdf,data/parsed/pdf_text/doc_1219330022_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1222823028,001979,招商蛇口,2024年年度报告,data/pdf/招商蛇口_2024_1222823028.pdf,data/parsed/pdf_text/doc_1222823028_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219865459,002146,荣盛发展,荣盛房地产发展股份有限公司2023年年度报告全文,data/pdf/荣盛发展_2023_1219865459.pdf,data/parsed/pdf_text/doc_1219865459_pdf_text.md,pypdf_text_fallback,True,False,False,True,True,approximate,no
1209847122,002244,滨江集团,2020年年度报告,data/pdf/滨江集团_2020_1209847122.pdf,data/parsed/pdf_text/doc_1209847122_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1213249284,002244,滨江集团,2021年年度报告,data/pdf/滨江集团_2021_1213249284.pdf,data/parsed/pdf_text/doc_1213249284_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1217376050,002244,滨江集团,杭州滨江房产集团股份有限公司2022年年度报告（更新后),data/pdf/滨江集团_2022_1217376050.pdf,data/parsed/pdf_text/doc_1217376050_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
1219860111,002244,滨江集团,2023年年度报告,data/pdf/滨江集团_2023_1219860111.pdf,data/parsed/pdf_text/doc_1219860111_pdf_text.md,pypdf_text_fallback,True,False,True,True,True,approximate,no
